1,苹果园,116.1726,39.921,0,0,0,0,0,0,0,0,0,0,6,30,148,270,655,949,1390,1772,1400,1302,1287,1276,1238,1031,997,907,808,882,843,820,794,733,722,763,782,689,632,597,506,473,365,332,303,259,213,177,101,24
2,古城路,116.1844,39.9041,1,0,0,0,0,0,0,0,0,0,5,39,81,164,288,541,740,888,682,631,585,616,537,514,442,394,404,413,368,393,342,323,301,274,330,307,298,309,236,166,163,144,144,127,108,60,41,5
3,八角游乐园,116.208,39.9046,5,0,0,0,0,0,0,0,0,0,6,19,59,138,306,469,623,687,565,573,528,531,491,438,382,339,384,367,323,394,396,376,371,394,456,374,421,322,279,206,183,223,211,147,125,99,60,19
4,八宝山,116.2307,39.9047,1,0,0,0,0,0,0,0,0,0,3,18,49,91,253,414,556,706,536,514,521,566,592,497,422,445,375,372,415,420,395,352,312,333,376,374,413,400,320,233,187,183,203,165,158,149,74,23
5,玉泉路,116.2483,39.905,3,0,0,0,0,0,0,0,0,0,2,14,37,135,215,454,630,766,706,685,714,659,719,664,573,549,532,523,509,474,480,419,434,485,568,585,555,491,425,277,230,232,241,223,166,109,85,14
6,五棵松,116.2692,39.9053,3,1,0,0,0,0,0,0,0,0,1,23,51,114,194,345,510,581,538,620,665,722,677,658,560,556,552,551,518,558,573,662,581,694,721,853,878,663,546,409,363,289,298,327,299,284,157,43
7,万寿路,116.2899,39.9054,3,0,0,0,0,0,0,0,0,0,0,13,30,59,136,185,288,350,296,353,351,332,330,347,311,338,317,407,405,446,406,395,418,443,461,507,509,490,451,363,329,292,321,375,340,343,179,22
8,公主坟,116.3052,39.9054,1,0,0,0,0,0,0,0,0,0,1,6,12,26,56,108,148,142,166,241,242,252,249,306,360,354,332,340,327,310,374,437,401,421,503,486,522,532,384,358,296,211,365,336,254,258,117,25
9,军事博物馆,116.3163,39.9057,1,0,0,0,0,0,0,0,0,0,1,19,15,59,90,149,184,242,233,303,313,316,348,361,345,309,312,359,350,356,379,396,419,437,495,474,443,400,321,236,215,197,177,183,153,110,81,37
10,木樨地,116.3306,39.9059,1,0,0,0,0,0,0,0,0,0,0,15,14,28,82,129,186,231,251,263,280,223,227,244,231,239,242,208,257,240,236,274,266,296,308,361,311,280,217,143,127,104,130,116,127,107,51,21
11,南礼士路,116.3471,39.9053,2,0,0,0,0,0,0,0,0,0,1,21,19,32,85,147,219,225,260,310,278,269,268,298,246,286,290,322,340,281,281,335,401,386,375,441,434,367,287,216,190,178,169,238,171,109,58,25
12,复兴门,116.3529,39.9054,1,0,0,0,0,0,0,0,0,0,2,6,39,36,37,90,126,150,150,177,198,198,241,236,248,275,247,259,248,263,280,315,466,424,426,378,421,383,315,283,248,219,221,264,263,291,96,13
13,西单,116.3679,39.9053,4,0,0,0,0,0,0,0,0,0,3,4,28,33,74,139,156,205,222,283,303,417,579,643,728,930,1163,1511,1824,2031,2453,3076,3331,3794,4038,4417,4485,4001,3501,3193,3180,2983,3147,3017,2356,2182,1242,185
14,天安门西,116.3866,39.9058,2,1,0,0,0,0,0,0,0,0,0,3,1,4,28,37,50,50,51,50,51,69,140,135,224,329,247,191,234,206,242,291,361,402,480,456,354,332,287,190,143,121,157,286,640,616,657,94
15,天安门东,116.3981,39.9062,0,0,0,0,0,0,0,0,0,0,1,2,10,18,63,87,80,99,94,121,155,171,247,283,327,360,360,395,467,434,527,572,655,889,1188,872,519,505,443,205,191,157,117,113,111,86,52,11
16,王府井,116.4074,39.9066,2,0,0,0,0,0,0,0,0,0,0,12,11,15,19,42,51,90,116,99,151,173,199,216,298,356,478,624,754,894,933,960,1230,1377,1554,1550,1625,1485,1256,1166,1089,1254,1190,1286,1340,1239,579,95
17,东单,116.4122,39.9065,7,0,0,0,0,0,0,0,0,0,0,19,21,24,42,96,115,186,217,229,278,264,287,316,296,293,301,344,355,422,402,429,452,551,679,791,698,597,522,487,408,449,443,466,493,392,186,40
